代码	名称	涨幅%	现价	涨跌	买价	卖价	总量	现量	涨速%	换手%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	开盘金额	开盘换手Z	封成比	封单额	流通股(亿)	流通市值	AB股总市值	强弱度%	活跃度	笔均量	笔换手	连涨天	3日涨幅%	20日涨幅%	60日涨幅%	年初至今%	换手Z	流通市值Z	市盈(TTM)	市盈(静)	贝塔系数	近日指标提示	短期形态	中期形态	长期形态	开盘%	最高%	最低%	均涨幅%	实体涨幅%	回头波%	攻击波%	现均差%	财务更新	上市日期	总股本(亿)	B/A股(亿)	H股(亿)	总资产(亿)	净资产(亿)	少数股权(亿)	资产负债率%	流动资产(亿)	固定资产(亿)	无形资产(亿)	流动负债(亿)	存货(亿)	应收帐款(亿)	资本公积金(亿)	营业收入(亿)	营业成本(亿)	营业利润(亿)	投资收益(亿)	利润总额(亿)	税后利润(亿)	净利润(亿)	扣非净利润(亿)	未分利润(亿)	经营现金流(亿)	总现金流(亿)	股东人数	人均持股	人均市值	利润同比%	收入同比%	市净率	市现率	市销率	股息率%	每股收益	每股净资	调整后净资	每股公积	每股未分配	每股现金流	权益比%	净益率%	毛利率%	营业利润率%	净利润率%	研发费用(亿)	员工人数	交易代码	自选日	自选价	自选收益%	
="000001"	平安银行	-2.41	13.79	-0.34	13.79	13.80	1009421	4604	0.00	          0.59	14.08	14.25	13.70	14.13	     7.95	1407987328	  0.77	银行	深圳	3.89	13.95	521216	488205	  1.07	1649	327	--  	10392400	          0.01	--  	--  	        171.70	       2367.78亿	       2367.80亿	 -1.13	   4581	    220	        0.0001	-2	-2.00	12.85	31.08	47.01	          1.33	       1049.46亿	9.22	9.54	0.90	-- -- 				-0.35	0.85	-3.04	-1.28	-2.06	-3.23	0.66	-1.12	20190424	19910403	        171.70	--  	--  	35301.80	2509.38	          0.00	92.89	0.00	106.23	45.75	0.00	0.00	0.00	564.65	324.76	0.00	96.67	25.71	96.71	74.46	74.46	74.22	1016.09	531.84	403.17	354508.00	         21467	29.60万	12.90	15.88	          1.03	4.45	7.29	1.05	0.380㈠	         13.45	13.45	          3.29	          5.92	          3.10	          7.11	   2.97㈠	--  	         29.77	         22.93	0.00	34626	000001	--  	--  	--  	
="000002"	万 科Ａ	-1.05	29.08	-0.31	29.07	29.08	396883	3629	-0.13	          0.41	29.10	29.38	28.90	29.39	     9.73	1155740032	  0.61	全国地产	深圳	1.63	29.12	206479	190404	  1.08	98	2042	--  	10231600	          0.01	--  	--  	         97.15	       2825.17亿	       2827.80亿	  0.23	   4570	     87	        0.0001	-2	-1.46	0.97	14.44	22.08	          0.82	       1409.41亿	9.73	9.73	0.84	-- -- 				-0.99	-0.03	-1.67	-0.92	-0.07	-1.02	0.62	-0.14	20190408	19910129	        113.02	--  	         15.78	15285.79	1557.64	        798.57	84.59	12950.72	115.34	49.53	11219.14	7503.03	15.86	80.06	2976.79	1861.04	674.99	67.88	674.60	492.72	337.73	334.90	917.25	336.18	110.51	239133.00	         20268	58.94万	20.39	22.55	          2.06	9.78	1.10	3.59	3.060㈣	         14.11	14.11	          0.71	          8.12	          2.97	         10.19	  21.68㈣	         37.48	         22.67	         11.35	9.46	104300	000002	--  	--  	--  	
="000004"	国农科技	2.35	22.18	0.51	22.17	22.18	15799	205	0.00	          1.91	21.63	22.60	21.05	21.67	    87.04	34532580	  1.14	生物制药	深圳	7.15	21.86	6886	8913	  0.77	14	224	--  	103800	          0.01	--  	--  	          0.83	         18.39亿	         18.63亿	  3.63	   1235	     13	        0.0015	3	7.09	2.35	36.07	38.37	          3.19	         10.97亿	163.25	217.42	0.60	-- -- 				-0.18	4.29	-2.86	0.86	2.54	-1.86	5.37	1.49	20190426	19910114	          0.84	--  	--  	1.61	1.15	          0.20	16.38	1.16	0.01	0.00	0.26	0.00	0.28	0.01	1.07	0.25	0.17	0.17	0.16	0.05	0.05	-0.05	0.19	0.04	0.35	10044.00	          4923	10.92万	159.64	41.47	         16.26	469.67	17.42	0.00	0.064㈠	          1.36	0.00	          0.01	          0.22	          0.05	         71.03	   4.67㈠	         76.62	         15.82	          5.00	0.01	172	000004	--  	--  	--  	
="000005"	世纪星源	0.29	3.50	0.01	3.50	3.51	152383	934	0.00	          1.44	3.49	3.62	3.40	3.49	--  	52794580	  0.70	环境保护	深圳	6.30	3.46	73643	78739	  0.94	22	793	--  	166800	          0.01	--  	--  	         10.58	         37.03亿	         37.05亿	  1.57	   1734	     88	        0.0008	1	-4.63	-4.89	19.45	30.60	          1.74	         30.58亿	32.24	24.90	1.03	-- -- 				0.00	3.72	-2.58	-0.73	0.29	-3.31	2.94	1.01	20190425	19901210	         10.59	--  	--  	29.52	14.72	          0.90	47.11	16.30	0.28	0.69	13.82	4.56	2.82	6.88	0.84	0.62	-0.17	-0.02	-0.18	-0.18	-0.18	-0.18	-3.15	0.70	0.19	125079.00	          6985	2.44万	-209.93	-44.98	          2.52	52.57	44.25	0.00	-0.017㈠	          1.39	0.00	          0.65	         -0.30	          0.07	         49.84	  -1.21㈠	         25.62	        -20.77	        -21.20	0.05	745	000005	--  	--  	--  	
="000006"	深振业Ａ	-0.81	6.13	-0.05	6.13	6.14	92958	499	-0.32	          0.69	6.20	6.23	6.13	6.18	     9.47	57457316	  0.83	区域地产	深圳	1.62	6.18	46761	46197	  1.01	1493	13	--  	26000	          0.00	--  	--  	         13.48	         82.62亿	         82.75亿	  0.47	   1695	     55	        0.0004	-2	-4.97	-6.41	16.32	18.34	          1.08	         52.90亿	9.47	9.47	0.97	-- -- 				0.32	0.81	-0.81	0.02	-1.13	-1.61	0.00	-0.83	20190401	19920427	         13.50	--  	--  	135.37	61.98	          1.88	52.82	104.27	0.07	0.00	54.37	64.37	0.08	4.84	25.12	15.38	10.67	4.99	10.69	9.23	8.74	8.71	28.79	16.07	6.48	73575.00	         11729	7.19万	8.52	-15.12	          1.34	5.15	3.29	3.18	0.648㈣	          4.59	0.00	          0.36	          2.13	          1.19	         45.78	  14.11㈣	         38.79	         42.49	         34.80	0.00	377	000006	--  	--  	--  	
="000007"	全新好	-4.15	6.23	-0.27	6.22	6.23	68561	468	-0.15	          2.22	6.45	6.62	6.07	6.50	--  	43471436	  0.77	酒店餐饮	深圳	8.46	6.34	38144	30417	  1.25	63	46	--  	123500	          0.01	--  	--  	          3.09	         19.25亿	         21.58亿	 -2.87	   1711	     40	        0.0013	-2	-12.00	-11.38	-4.74	-22.70	          2.93	         14.57亿	--  	131.18	1.62	空头排列				-0.77	1.85	-6.62	-2.45	-3.41	-5.89	2.64	-1.70	20190413	19920413	          3.46	--  	--  	4.25	3.78	          0.03	10.25	1.41	0.67	0.00	0.42	0.00	0.00	1.57	0.32	0.09	-0.12	0.05	-0.13	-0.09	-0.09	0.09	-1.34	-0.06	-0.01	13946.00	         16775	10.45万	-183.86	-5.28	         89.00	-350.76	66.90	0.00	-0.025㈢	          0.07	0.07	          0.45	         -0.39	         -0.02	         88.93	  -2.29㈢	         70.70	        -36.56	        -26.84	0.00	102	000007	--  	--  	--  	
="000008"	神州高铁	0.22	4.49	0.01	4.49	4.50	266551	1788	0.00	          1.03	4.46	4.56	4.45	4.48	    38.41	119757408	  0.69	运输设备	北京	2.46	4.49	129076	137474	  0.94	1054	976	--  	636000	          0.01	--  	--  	         25.99	        116.70亿	        124.86亿	  1.50	   2451	    109	        0.0004	1	-3.86	-0.22	16.02	15.42	          1.58	         75.68亿	38.41	38.41	0.97	-- -- 				-0.45	1.79	-0.67	0.29	0.67	-1.54	0.90	-0.06	20190425	19920507	         27.81	--  	--  	104.66	73.13	          0.92	29.25	56.33	3.08	2.34	27.71	6.93	30.85	27.72	25.65	13.10	4.33	0.25	4.35	3.42	3.25	3.27	16.69	-5.91	0.53	91600.00	         18400	8.26万	-62.80	10.04	          1.71	-21.14	4.87	0.22	0.117㈣	          2.63	0.00	          1.00	          0.60	         -0.21	         69.87	   4.44㈣	         48.92	         16.88	         12.67	2.14	2417	000008	--  	--  	--  	
="000009"	中国宝安	-0.32	6.18	-0.02	6.18	6.19	245858	1824	0.00	          1.16	6.13	6.29	6.13	6.20	   101.03	152965984	  0.41	综合类	深圳	2.58	6.22	112783	133075	  0.85	310	1669	--  	1767300	          0.02	--  	--  	         21.20	        131.00亿	        132.83亿	  0.96	   2754	     89	        0.0004	-2	-5.93	-5.07	43.72	43.39	          1.41	        107.78亿	258.76	99.72	1.34	-- -- 				-1.13	1.45	-1.13	0.35	0.82	-1.75	0.82	-0.67	20190413	19910625	         21.49	--  	--  	288.01	50.88	         48.89	65.36	195.94	36.41	10.33	118.67	94.92	24.54	8.05	66.49	43.00	3.49	3.77	3.77	2.59	0.99	0.89	18.60	20.56	3.91	164659.00	         10592	6.55万	-45.36	36.45	          2.54	6.46	2.00	0.32	0.046㈢	          2.43	2.43	          0.37	          0.87	          0.96	         17.67	   1.94㈢	         35.34	          5.26	          1.48	2.27	10944	000009	--  	--  	--  	
="000010"	*ST美丽	-4.99	3.43	-0.18	--  	3.43	7862	32	0.00	          0.15	3.43	3.43	3.43	3.61	--  	2696666	  0.12	建筑工程	深圳	0.00	3.43	1139	6723	  0.17	0	199028	--  	770400	          0.04	25.32	68266608	          5.22	         17.91亿	         28.12亿	 -3.71	    196	     40	        0.0008	-1	-8.30	0.00	3.31	5.21	          0.15	         17.91亿	--  	--  	1.09	-- -- 				-4.99	-4.99	-4.99	-4.99	0.00	0.00	0.00	0.00	20190425	19951027	          8.20	--  	--  	32.73	4.19	          1.71	81.95	26.19	0.71	0.10	26.07	12.34	9.32	14.95	3.45	3.00	-7.16	0.17	-7.24	-7.27	-7.32	-7.31	-19.04	-2.38	-1.07	45100.00	         11578	3.97万	31.08	-54.42	          6.71	-11.79	8.14	0.00	-0.892㈣	          0.51	0.00	          1.82	         -2.32	         -0.29	         12.81	-174.44㈣	         13.20	       -207.28	       -211.78	0.02	545	000010	--  	--  	--  	
="000011"	深物业A	-0.09	10.75	-0.01	10.75	10.76	28119	173	0.09	          1.60	10.84	10.92	10.72	10.76	    10.81	30400326	  0.65	区域地产	深圳	1.86	10.81	11976	16142	  0.74	125	132	--  	217900	          0.01	--  	--  	          1.76	         18.91亿	         64.07亿	  1.19	   1574	     18	        0.0010	-2	-3.41	-5.12	13.04	17.10	          1.93	         15.70亿	10.81	10.81	0.84	-- -- 				0.74	1.49	-0.37	0.48	-0.83	-1.56	0.28	-0.57	20190401	19920330	          5.96	          0.68	--  	58.20	33.38	          0.03	42.59	47.12	0.33	0.00	24.25	11.82	0.64	1.19	27.87	13.15	7.76	0.02	7.77	5.93	5.93	5.91	23.25	11.24	9.11	45610.00	          4685	5.04万	-4.85	-4.04	          1.92	5.70	2.30	2.79	0.995㈣	          5.60	0.00	          0.20	          3.90	          1.89	         57.35	  17.76㈣	         52.81	         27.83	         21.27	0.00	5504	000011	--  	--  	--  	
="000012"	南 玻Ａ	-3.12	4.97	-0.16	4.97	4.98	169135	1157	-0.19	          0.95	5.13	5.15	4.96	5.13	    26.91	85101744	  1.14	玻璃	深圳	3.70	5.03	98861	70274	  1.41	279	1745	--  	151800	          0.00	--  	--  	         17.77	         88.33亿	        142.30亿	 -1.84	   2604	     65	        0.0004	-2	-5.69	-7.79	20.05	24.56	          1.25	         67.26亿	31.42	31.42	1.02	空头排列				0.00	0.39	-3.31	-1.92	-3.12	-3.50	0.20	-1.20	20190426	19920228	         28.63	         10.08	--  	190.39	92.42	          3.50	49.62	50.22	97.54	10.43	60.19	7.53	9.28	11.01	22.23	17.10	1.65	0.00	1.64	1.36	1.32	0.83	46.18	1.36	-0.07	148536.00	         15900	7.90万	-17.06	-15.47	          1.54	104.39	6.40	1.01	0.046㈠	          3.23	0.00	          0.38	          1.61	          0.05	         48.54	   1.43㈠	         23.06	          7.41	          5.95	0.80	10800	000012	--  	--  	--  	
="000014"	沙河股份	-2.10	10.72	-0.23	10.71	10.72	43127	658	-0.18	          2.14	10.92	10.92	10.70	10.95	--  	46443812	  0.99	全国地产	深圳	2.01	10.77	24278	18848	  1.29	42	504	--  	203100	          0.01	--  	--  	          2.02	         21.62亿	         21.62亿	 -0.82	   1577	     27	        0.0014	-2	-6.37	-10.82	10.63	15.39	          3.24	         14.27亿	14.81	14.81	0.90	-- -- 				-0.27	-0.27	-2.28	-1.65	-1.83	-1.83	0.19	-0.45	20190426	19920602	          2.02	--  	--  	20.04	8.78	          0.65	52.92	18.75	0.15	0.00	9.98	15.49	0.00	0.10	0.07	0.05	-0.13	0.00	-0.09	-0.07	-0.07	-0.10	4.35	0.59	0.52	27767.00	          4793	5.14万	-315.18	-89.33	          2.46	36.38	299.22	0.62	-0.034㈠	          4.35	0.00	          0.05	          2.16	          0.29	         43.81	  -0.77㈠	         29.31	       -181.80	        -93.56	0.00	148	000014	--  	--  	--  	
="000016"	深康佳Ａ	-1.80	4.91	-0.09	4.90	4.91	159384	1632	0.00	          1.00	5.00	5.02	4.89	5.00	    28.75	78957944	  0.88	家用电器	深圳	2.60	4.95	75200	84183	  0.89	1349	57	--  	614000	          0.01	--  	--  	         15.97	         78.39亿	        118.23亿	 -0.52	   1981	     80	        0.0005	-2	-5.57	-9.41	42.73	51.54	          1.49	         52.68亿	28.75	28.75	1.28	空头排列				0.00	0.40	-2.20	-0.92	-1.80	-2.19	0.41	-0.88	20190424	19920327	         24.08	          8.11	--  	329.85	81.05	         13.47	71.35	218.43	24.10	7.38	226.76	54.88	44.58	2.08	461.27	432.28	1.34	9.27	4.55	6.69	4.11	-7.95	42.71	-32.30	3.15	94387.00	         19962	9.80万	-91.87	47.71	          1.46	-3.66	0.26	2.04	0.171㈣	          3.37	0.00	          0.09	          1.77	         -1.34	         24.57	   5.07㈣	          6.29	          0.29	          0.89	3.96	18965	000016	--  	--  	--  	
="000017"	深中华A	-0.61	4.88	-0.03	4.87	4.88	41475	794	0.00	          1.37	4.89	5.00	4.84	4.91	--  	20336964	  0.38	文教休闲	深圳	3.26	4.90	21914	19560	  1.12	213	416	--  	142800	          0.01	--  	--  	          3.03	         14.79亿	         26.91亿	  0.67	    912	     45	        0.0015	-2	-6.69	-6.87	5.63	11.93	          1.73	         11.69亿	--  	--  	1.13	空头排列				-0.41	1.83	-1.43	-0.13	-0.20	-2.40	0.83	-0.48	20190422	19920331	          5.51	          2.48	--  	0.73	0.14	          0.03	76.82	0.67	0.04	0.02	0.56	0.02	0.29	6.28	1.20	1.08	-0.02	0.00	-0.02	-0.02	-0.02	-0.02	-11.98	-0.09	-0.03	52000.00	          9381	4.58万	-204.07	-12.79	        188.07	-283.83	22.44	0.00	-0.003㈣	          0.03	0.00	          1.14	         -2.17	         -0.02	         19.53	 -11.13㈣	          9.87	         -1.92	         -1.33	0.00	53	000017	--  	--  	--  	
="000018"	神州长城	-1.17	2.54	-0.03	2.54	2.55	220273	3802	-0.38	          2.21	2.55	2.63	2.53	2.57	   126.96	56908116	  0.47	装修装饰	深圳	3.89	2.58	119091	101181	  1.18	2062	1199	--  	774200	          0.08	--  	--  	          9.96	         25.29亿	         43.14亿	  0.11	   2397	     92	        0.0009	-2	-8.97	-2.68	5.39	19.81	          5.76	          9.71亿	--  	11.35	1.44	-- -- 				-0.78	2.33	-1.56	0.53	-0.39	-3.42	0.40	-1.69	20190213	19920616	         16.98	          2.64	--  	109.96	20.86	          1.15	79.99	90.82	3.27	1.46	81.77	7.49	52.22	-12.99	22.59	19.71	-1.73	0.05	0.31	0.23	0.25	-1.79	14.65	12.87	-4.89	71164.00	          9079	2.31万	-93.79	-51.78	        -20.82	3.35	1.91	1.57	0.015㈢	         -0.12	-0.12	         -0.77	          0.86	          0.76	         18.97	   1.22㈢	         12.77	         -7.66	          1.13	0.00	2875	000018	--  	--  	--  	
="000019"	深粮控股	-0.13	7.88	-0.01	7.87	7.88	49302	1191	0.00	          1.19	7.82	7.96	7.80	7.89	--  	38849236	  0.68	其他商业	深圳	2.03	7.88	26793	22508	  1.19	366	178	--  	287000	          0.01	--  	--  	          4.16	         32.78亿	         90.82亿	  1.15	   1320	     37	        0.0009	-2	-2.12	-4.37	10.36	10.36	          1.82	         21.31亿	--  	--  	0.69	-- -- 				-0.89	0.89	-1.14	-0.13	0.77	-1.01	1.03	0.00	20190413	19921012	         11.53	          0.52	--  	10.09	9.17	          0.15	7.68	4.87	2.98	1.82	0.65	1.52	0.67	3.59	2.17	1.58	-0.29	0.01	-0.29	-0.32	-0.30	-0.31	0.06	0.08	-0.75	67184.00	          4796	3.78万	-13.59	-6.06	          2.17	1197.91	41.90	0.00	-0.060㈢	          3.63	3.63	          0.31	          0.01	          0.01	         90.87	  -3.27㈢	         27.06	        -13.38	        -13.83	0.00	688	000019	--  	--  	--  	
="000020"	深华发Ａ	1.73	11.73	0.20	11.73	11.74	12606	224	-0.16	          0.70	11.55	11.89	11.55	11.53	  5008.26	14832343	  0.85	元器件	深圳	2.95	11.77	5751	6855	  0.84	90	49	--  	60100	          0.01	--  	--  	          1.81	         21.25亿	         33.21亿	  3.01	    832	     15	        0.0008	1	-5.34	-3.77	9.22	12.14	          1.95	          7.59亿	2956.33	3408.71	1.00	-- -- 				0.17	3.12	0.17	2.05	1.56	-1.35	1.56	-0.31	20190213	19920428	          2.83	          1.02	--  	6.10	3.21	          0.00	47.35	3.26	1.77	0.42	2.89	0.50	1.38	1.47	4.90	4.41	-0.00	0.00	0.01	0.00	0.00	-0.01	-1.86	-0.54	-0.68	26534.00	          6281	7.37万	42.77	-27.13	         10.34	-61.47	6.78	0.00	0.002㈢	          1.13	0.00	          0.52	         -0.66	         -0.19	         52.65	   0.15㈢	         10.09	         -0.05	          0.10	0.08	993	000020	--  	--  	--  	
="000021"	深科技	0.47	8.53	0.04	8.52	8.53	197379	2640	0.12	          1.34	8.42	8.69	8.42	8.49	    23.68	169555808	  0.85	IT设备	深圳	3.18	8.59	89262	108117	  0.83	664	401	--  	904300	          0.02	--  	--  	         14.69	        125.34亿	        125.50亿	  1.75	   3201	     62	        0.0004	1	-0.46	-5.85	37.80	48.35	          2.79	         60.38亿	23.68	23.68	1.20	-- -- 				-0.82	2.36	-0.82	1.18	1.31	-1.84	1.31	-0.71	20190422	19940202	         14.71	--  	--  	155.39	62.86	          1.01	58.90	100.86	25.67	5.73	90.10	21.95	15.42	7.75	160.61	153.06	6.99	1.28	6.99	5.65	5.30	-0.61	26.93	4.21	0.99	110500.00	          6406	5.46万	-2.07	13.03	          2.00	29.83	0.78	1.17	0.360㈣	          4.27	0.00	          0.53	          1.83	          0.29	         40.45	   8.43㈣	          4.70	          4.35	          3.30	2.00	21974	000021	--  	--  	--  	
="000023"	深天地Ａ	0.14	14.10	0.02	14.10	14.11	25125	485	-0.41	          1.81	14.03	14.47	13.80	14.08	    32.84	35511124	  0.78	其他建材	深圳	4.76	14.13	12153	12972	  0.94	406	100	--  	32300	          0.00	--  	--  	          1.39	         19.56亿	         19.56亿	  1.42	   1410	     18	        0.0013	1	-5.56	-8.08	19.09	10.94	          2.84	         12.46亿	74.33	74.33	1.15	EXPMA死叉				-0.36	2.77	-1.99	0.38	0.50	-2.56	2.17	-0.24	20190426	19930429	          1.39	--  	--  	22.45	4.46	          0.84	76.39	19.82	1.77	0.04	17.10	5.06	8.44	1.03	3.22	2.71	0.28	0.00	0.32	0.23	0.15	0.09	1.54	-0.12	-0.77	16107.00	          5488	7.74万	406.27	23.46	          4.38	-156.92	6.08	0.43	0.107㈠	          3.22	0.00	          0.74	          1.11	         -0.09	         19.88	   3.34㈠	         15.76	          8.62	          4.63	0.00	1088	000023	--  	--  	--  	
="000025"	特 力Ａ	-0.53	32.03	-0.17	32.03	32.04	24229	365	-0.05	          0.89	32.20	32.58	31.60	32.20	   109.54	78059440	  0.49	汽车服务	深圳	3.04	32.22	11861	12368	  0.96	115	53	--  	370300	          0.02	--  	--  	          2.71	         86.76亿	         95.22亿	  0.75	   2346	     10	        0.0004	-3	-7.34	0.88	19.38	20.78	          4.04	         19.20亿	109.54	109.54	0.77	-- -- 				0.00	1.18	-1.86	0.05	-0.53	-1.69	1.36	-0.58	20190402	19930621	          2.97	          0.26	--  	16.58	10.50	          0.49	33.71	7.09	1.13	0.51	5.18	0.12	0.86	5.65	4.14	3.32	0.92	0.89	0.91	0.86	0.87	0.83	1.85	-0.07	0.01	51700.00	          1670	5.35万	30.00	19.30	          9.07	-1448.25	22.99	0.00	0.292㈣	          3.53	0.00	          1.90	          0.62	         -0.02	         63.33	   8.28㈣	         19.77	         22.28	         20.98	0.00	337	000025	--  	--  	--  	
="000026"	飞亚达Ａ	-1.43	8.28	-0.12	8.27	8.28	45488	405	0.12	          1.28	8.42	8.42	8.24	8.40	    14.25	37961820	  1.01	其他商业	深圳	2.14	8.35	24077	21411	  1.12	97	117	--  	23600	          0.00	--  	--  	          3.57	         29.54亿	         36.68亿	 -0.15	   1238	     37	        0.0010	-2	-5.37	-5.26	5.88	13.58	          2.35	         16.04亿	19.44	19.95	0.83	空头排列				0.24	0.24	-1.90	-0.65	-1.66	-1.66	0.49	-0.78	20190424	19930603	          4.43	          0.82	--  	35.80	26.32	          0.00	26.48	24.57	4.18	0.43	9.40	17.60	4.22	10.78	8.93	5.33	0.82	0.00	0.82	0.64	0.64	0.62	9.16	0.11	-0.17	33760.00	          8157	6.75万	8.13	4.88	          1.39	341.82	4.11	2.39	0.145㈠	          5.94	0.00	          2.43	          2.07	          0.02	         73.52	   2.45㈠	         40.36	          9.20	          7.20	0.10	5162	000026	--  	--  	--  	
="000027"	深圳能源	-1.48	6.01	-0.09	6.00	6.01	95027	3522	-0.32	          0.24	6.10	6.16	6.01	6.10	    34.50	57814996	  1.09	火力发电	深圳	2.46	6.08	46962	48065	  0.98	1605	93	--  	266000	          0.00	--  	--  	         39.64	        238.27亿	        238.27亿	 -0.20	   2481	     38	        0.0001	-2	-4.15	-5.35	15.36	14.48	          0.88	         64.71亿	34.50	34.50	0.79	空头排列				0.00	0.98	-1.48	-0.26	-1.48	-2.44	0.00	-1.21	20190422	19930903	         39.64	--  	--  	850.74	240.74	         34.09	67.69	209.51	346.41	42.48	225.18	12.93	57.79	39.45	185.27	135.94	11.99	1.20	12.15	7.16	6.91	6.60	85.51	41.79	7.93	113582.00	          9480	5.70万	-7.83	19.18	          1.13	5.70	1.29	0.83	0.174㈣	          5.32	5.32	          0.99	          2.16	          1.05	         28.30	   2.87㈣	         26.63	          6.47	          3.73	1.55	6649	000027	--  	--  	--  	
="000028"	国药一致	-1.05	46.90	-0.50	46.89	46.91	24205	5	-0.20	          0.79	47.25	48.25	46.40	47.40	    16.72	113929592	  1.53	医药商业	深圳	3.90	47.07	10799	13406	  0.81	30	12	--  	99200	          0.00	--  	--  	          3.08	        144.33亿	        200.79亿	  0.23	   2420	     10	        0.0003	-6	-2.01	-4.89	18.14	13.18	          1.97	         57.59亿	16.48	16.58	0.70	空头排列				-0.32	1.79	-2.11	-0.70	-0.74	-2.80	1.08	-0.35	20190425	19930809	          4.28	          0.55	--  	308.55	119.19	         23.36	53.80	263.51	6.00	3.26	163.28	50.21	115.92	43.21	118.79	105.77	4.25	0.82	4.26	3.45	3.00	2.97	69.55	-7.59	-8.00	17550.00	         10125	47.48万	2.53	15.82	          1.68	-26.44	1.69	0.85	0.701㈠	         27.84	0.00	         10.09	         16.25	         -1.77	         38.63	   2.52㈠	         10.96	          3.58	          2.53	0.00	24821	000028	--  	--  	--  	
="000029"	深深房Ａ	--  	11.17	--  		--  	0	0	--  	          0.00	--  	--  	--  	11.17	    33.62	0	  0.00	区域地产	深圳	0.00	11.17	0	0	--  	0	0	--  	0	--  	--  	--  	          8.92	         99.60亿	        113.00亿	  1.28	      0	--  	--  	2	1.72	0.00	0.00	0.00	--  	         27.79亿	19.04	22.44	0.71	-- -- 				--  	--  	--  	0.00	--  	--  	--  	--  	20190419	19930915	         10.12	          1.20	--  	48.31	34.18	         -1.31	31.95	40.80	0.33	0.00	15.36	16.97	0.38	9.78	4.25	2.02	1.08	0.09	1.08	0.84	0.84	0.84	13.20	2.17	11.28	76443.00	          4824	5.39万	1504.53	183.90	          3.31	52.04	26.62	1.79	0.083㈠	          3.38	0.00	          0.97	          1.30	          0.21	         70.75	   2.46㈠	         52.35	         25.55	         19.79	0.00	1954	000029	--  	--  	--  	
="000030"	富奥股份	0.80	5.01	0.04	5.00	5.01	59832	852	0.20	          0.34	5.04	5.04	4.92	4.97	    10.29	29840786	  0.45	汽车配件	吉林	2.41	4.99	34185	25646	  1.33	772	1690	--  	579600	          0.02	--  	--  	         17.51	         87.70亿	         90.71亿	  2.08	   1186	     50	        0.0003	1	-4.94	-2.15	25.25	35.04	          1.08	         27.87亿	10.70	10.91	1.02	-- -- 				1.41	1.41	-1.01	0.35	-0.60	-0.60	1.83	0.45	20190213	19930929	         18.11	          0.48	--  	112.37	61.62	          7.57	38.42	55.30	20.44	4.46	34.74	6.86	15.30	5.33	56.88	48.22	6.87	5.22	6.93	6.58	6.61	6.05	32.89	1.55	-0.15	32650.00	         18504	9.27万	2.57	11.65	          1.47	58.37	1.59	2.85	0.365㈢	          3.40	0.00	          0.29	          1.82	          0.09	         54.84	  10.73㈢	         15.23	         12.08	         11.62	1.45	6968	000030	--  	--  	--  	
="000031"	大悦城	-1.34	6.64	-0.09	6.63	6.64	127568	818	0.15	          0.70	6.73	6.82	6.60	6.73	    18.77	85437752	  0.81	全国地产	深圳	3.27	6.70	66857	60710	  1.10	184	458	--  	148100	          0.00	--  	--  	         18.14	        120.43亿	        260.68亿	 -0.06	   2560	     50	        0.0003	-3	-5.55	11.41	34.41	36.07	          1.33	         63.50亿	18.77	18.77	0.97	-- -- 				0.00	1.34	-1.93	-0.48	-1.34	-2.64	0.61	-0.85	20190404	19931008	         39.26	--  	--  	911.72	78.61	         58.99	84.91	807.13	5.49	0.53	452.80	428.35	2.50	0.00	141.20	81.18	28.59	7.08	28.57	20.04	13.89	12.24	48.54	-18.64	18.16	168200.00	          5686	3.78万	46.91	0.55	          1.53	-13.99	1.85	1.66	0.770㈣	          4.33	4.33	          0.00	          1.24	         -0.47	          8.62	  17.67㈣	         42.51	         20.25	          9.84	0.00	4238	000031	--  	--  	--  	
="000032"	深桑达Ａ	2.07	9.35	0.19	9.35	9.36	34135	295	0.11	          0.83	9.12	9.50	9.11	9.16	    35.15	31841822	  0.87	元器件	深圳	4.26	9.33	16264	17870	  0.91	264	281	--  	20100	          0.00	--  	--  	          4.11	         38.46亿	         38.64亿	  3.35	   1681	     20	        0.0005	1	-3.21	-5.65	23.68	33.19	          2.01	         15.92亿	35.45	36.10	0.95	-- -- 				-0.44	3.71	-0.55	1.84	2.52	-1.58	2.63	0.24	20190425	19931028	          4.13	--  	--  	22.41	13.94	          1.50	31.13	17.10	0.68	2.41	6.81	2.82	2.34	0.70	3.99	3.18	0.41	0.01	0.42	0.27	0.27	0.24	6.59	0.18	-0.53	21888.00	          7778	7.27万	7.75	6.08	          2.77	219.15	9.69	0.86	0.066㈠	          3.37	0.00	          0.17	          1.59	          0.04	         62.20	   1.97㈠	         20.29	         10.21	          6.89	0.04	457	000032	--  	--  	--  	
