代码	名称	涨幅%	现价	涨跌	买价	卖价	总量	现量	涨速%	换手%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	开盘金额	开盘换手Z	封成比	封单额	流通股(亿)	流通市值	AB股总市值	强弱度%	活跃度	笔均量	笔换手	连涨天	3日涨幅%	20日涨幅%	60日涨幅%	年初至今%	换手Z	流通市值Z	市盈(TTM)	市盈(静)	贝塔系数	近日指标提示	短期形态	中期形态	长期形态	开盘%	最高%	最低%	均涨幅%	实体涨幅%	回头波%	攻击波%	现均差%	财务更新	上市日期	总股本(亿)	B/A股(亿)	H股(亿)	总资产(亿)	净资产(亿)	少数股权(亿)	资产负债率%	流动资产(亿)	固定资产(亿)	无形资产(亿)	流动负债(亿)	存货(亿)	应收帐款(亿)	资本公积金(亿)	营业收入(亿)	营业成本(亿)	营业利润(亿)	投资收益(亿)	利润总额(亿)	税后利润(亿)	净利润(亿)	扣非净利润(亿)	未分利润(亿)	经营现金流(亿)	总现金流(亿)	股东人数	人均持股	人均市值	利润同比%	收入同比%	市净率	市现率	市销率	股息率%	每股收益	每股净资	调整后净资	每股公积	每股未分配	每股现金流	权益比%	净益率%	毛利率%	营业利润率%	净利润率%	研发费用(亿)	员工人数	交易代码	自选日	自选价	自选收益%	
="002861"	瀛通通讯	3.32	25.83	0.83	25.81	25.83	18390	83	-1.18	          3.66	25.41	26.46	25.04	25.00	    49.14	47560616	  0.79	通信设备	湖北	5.68	25.86	6688	11701	  0.57	35	110	--  	256600	          0.02	--  	--  	          0.50	         12.98亿	         31.69亿	  4.60	   2408	      8	        0.0015	1	2.55	5.43	30.59	39.25	          3.66	         12.98亿	49.14	49.14	1.08	-- -- 				1.64	5.84	0.16	3.45	1.65	-2.38	3.15	-0.13	20190425	20170413	          1.23	--  	--  	14.32	9.96	          0.00	30.42	9.13	2.91	0.83	4.25	2.13	3.22	4.54	8.96	6.70	0.74	0.07	0.74	0.63	0.64	0.56	4.47	0.07	-1.11	11600.00	          4331	11.19万	-24.83	24.22	          3.18	425.45	3.54	0.77	0.526㈣	          8.12	0.00	          3.70	          3.64	          0.06	         69.58	   6.47㈣	         25.24	          8.28	          7.19	0.44	4503	002861	--  	--  	--  	
="002862"	实丰文化	-7.93	24.86	-2.14	24.85	24.86	28010	588	0.16	          8.99	26.50	27.20	24.41	27.00	    62.21	72724032	  1.04	文教休闲	广东	10.33	25.96	18400	9610	  1.91	33	564	--  	98100	          0.01	--  	--  	          0.31	          7.75亿	         19.89亿	 -6.65	   1955	     14	        0.0046	-2	-6.54	-11.50	15.95	16.66	         10.79	          6.45亿	62.21	62.21	1.11	KDJ死叉				-1.85	0.74	-9.59	-3.84	-6.19	-8.60	1.84	-4.09	20190425	20170411	          0.80	--  	--  	6.08	5.69	          0.00	6.44	3.80	1.77	0.48	0.36	0.56	1.08	3.08	3.98	3.06	0.38	0.05	0.38	0.32	0.32	0.27	1.61	0.14	0.31	13800.00	          1881	4.68万	-26.34	-8.86	          3.49	145.32	5.00	0.40	0.400㈣	          7.11	0.00	          3.85	          2.01	          0.17	         93.56	   5.62㈣	         23.09	          9.48	          8.03	0.11	650	002862	--  	--  	--  	
="002863"	今飞凯达	-0.75	6.64	-0.05	6.64	6.65	28037	156	-0.14	          1.51	6.63	6.73	6.58	6.69	    71.24	18667618	  0.51	汽车配件	浙江	2.24	6.66	16709	11327	  1.48	214	101	--  	25900	          0.00	--  	--  	          1.86	         12.34亿	         25.00亿	  0.53	   1047	     27	        0.0014	-2	-6.21	-2.92	1.84	4.24	          2.43	          7.65亿	42.30	38.66	1.09	-- -- 				-0.90	0.60	-1.64	-0.47	0.15	-1.34	0.91	-0.27	20190424	20170418	          3.77	--  	--  	46.09	10.60	          0.13	76.73	24.34	13.59	2.33	30.72	10.37	3.81	1.40	5.27	4.07	0.11	0.01	0.11	0.10	0.09	0.01	4.01	0.42	2.76	24273.00	          4747	3.15万	-38.81	-12.13	          2.60	59.50	4.74	0.27	0.023㈠	          2.55	2.55	          0.37	          1.06	          0.11	         22.99	   0.83㈠	         22.71	          2.07	          1.67	0.16	4396	002863	--  	--  	--  	
="002864"	盘龙药业	-4.48	30.26	-1.42	30.26	30.27	15505	226	-0.61	          3.45	31.65	31.88	30.20	31.68	    42.52	47672488	  1.58	中成药	陕西	5.30	30.75	9584	5920	  1.62	27	10	--  	41100	          0.00	--  	--  	          0.45	         13.60亿	         26.23亿	 -3.20	   1470	     11	        0.0023	-5	-10.71	-10.61	-1.18	-5.17	          4.67	         10.06亿	46.10	59.99	1.05	空头排列				-0.09	0.63	-4.67	-2.94	-4.39	-5.08	0.20	-1.54	20181115	20171116	          0.87	--  	--  	8.19	5.93	          0.00	27.58	6.11	1.37	0.61	2.08	0.44	1.90	2.71	3.39	0.98	0.44	0.07	0.54	0.46	0.46	0.31	2.16	0.23	-2.34	20627.00	          1611	4.88万	39.80	23.90	          4.29	112.52	7.75	0.33	0.534㈢	          7.06	7.06	          3.13	          2.49	          0.27	         72.42	   7.80㈢	         71.06	         13.03	         13.67	0.06	575	002864	--  	--  	--  	
="002865"	钧达股份	-8.30	20.00	-1.81	19.96	20.00	64987	593	0.50	         17.06	21.11	21.22	19.63	21.81	    46.78	129525264	  1.10	汽车配件	海南	7.29	19.93	35470	29516	  1.20	2	230	--  	548900	          0.07	--  	--  	          0.38	          7.62亿	         24.34亿	 -7.02	   2341	     28	        0.0073	-3	-12.36	-3.57	2.04	4.60	         17.06	          7.62亿	35.82	36.08	1.17	KDJ死叉				-3.21	-2.71	-10.00	-8.62	-5.26	-5.75	1.88	0.32	20190223	20170425	          1.22	--  	--  	17.04	8.64	          0.00	49.28	9.44	3.64	0.95	7.89	2.64	3.06	3.86	7.24	5.56	0.43	0.06	0.43	0.39	0.39	0.39	3.50	0.09	-0.46	18591.00	          2049	4.10万	1.28	-4.38	          2.65	263.73	3.36	0.89	0.321㈢	          7.56	7.56	          3.17	          2.88	          0.08	         50.72	   4.51㈢	         23.22	          5.97	          5.39	0.23	2706	002865	--  	--  	--  	
="002866"	传艺科技	1.29	14.91	0.19	14.90	14.91	124108	3176	-0.06	         15.39	14.14	15.50	13.89	14.72	    36.02	183509904	  1.26	IT设备	江苏	10.94	14.79	57831	66277	  0.87	149	832	--  	2682400	          0.24	--  	--  	          0.81	         12.02亿	         36.94亿	  2.57	   2858	     43	        0.0054	3	9.54	21.32	35.18	42.54	         15.39	         12.02亿	38.51	38.36	1.01	多头排列				-3.94	5.30	-5.64	0.45	5.45	-3.81	7.34	0.84	20190420	20170426	          2.48	--  	--  	15.73	10.20	          0.00	35.16	9.94	3.32	0.24	5.09	1.91	4.46	4.10	3.74	2.88	0.30	0.00	0.30	0.26	0.26	0.25	3.35	0.04	0.17	18042.00	          4469	6.66万	-1.46	108.27	          3.62	863.93	9.88	0.59	0.103㈠	          4.12	0.00	          1.66	          1.35	          0.02	         64.84	   2.51㈠	         22.87	          8.03	          6.86	0.13	4508	002866	--  	--  	--  	
="002867"	周大生	-2.28	33.50	-0.78	33.50	33.52	20636	63	-0.35	          1.27	34.30	34.50	32.75	34.28	    20.25	68987112	  1.10	服饰	深圳	5.11	33.43	13484	7151	  1.89	24	16	--  	13700	          0.00	--  	--  	          1.63	         54.63亿	        163.25亿	 -1.00	   1529	     13	        0.0008	-2	-1.97	5.08	24.77	21.25	          2.09	         33.12亿	20.25	20.25	0.74	KDJ死叉				0.06	0.64	-4.46	-2.48	-2.33	-2.90	2.29	0.20	20190423	20170427	          4.87	--  	--  	58.87	39.41	          0.27	32.59	44.28	0.29	4.53	19.04	25.89	0.83	18.22	48.70	32.14	10.26	0.24	10.59	8.06	8.06	7.52	14.54	3.67	-1.05	17900.00	          5523	18.50万	36.15	27.97	          4.13	44.53	3.35	1.94	1.680㈣	          8.12	8.12	          3.74	          2.98	          0.75	         66.95	  20.45㈣	         34.00	         21.07	         16.55	0.10	3003	002867	--  	--  	--  	
="002868"	绿康生化	-2.50	23.01	-0.59	23.01	23.12	53433	1196	0.61	         13.89	23.25	23.70	22.20	23.60	    64.11	122742600	  0.75	农业综合	福建	6.36	22.97	22230	31203	  0.71	9	2	--  	395300	          0.06	--  	--  	          0.38	          8.85亿	         27.61亿	 -1.22	   1794	     30	        0.0077	-3	-5.23	19.10	45.08	54.22	         17.81	          6.90亿	36.97	36.97	0.75	阶段放量				-1.48	0.42	-5.93	-2.66	-1.03	-2.91	3.65	0.16	20190426	20170503	          1.20	--  	--  	7.99	7.51	          0.00	5.98	4.74	1.94	0.33	0.38	0.45	0.43	3.76	0.68	0.47	0.11	0.01	0.11	0.11	0.11	0.09	2.11	0.12	-0.16	13328.00	          2251	5.18万	-41.98	-24.07	          3.68	229.20	40.70	1.09	0.090㈠	          6.26	0.00	          3.13	          1.76	          0.10	         94.02	   1.43㈠	         30.51	         16.46	         15.87	0.04	526	002868	--  	--  	--  	
="002869"	金溢科技	2.20	27.90	0.60	27.90	27.97	37876	273	1.01	          8.42	27.50	28.48	26.95	27.30	    87.44	105644360	  0.89	通信设备	深圳	5.60	27.89	18048	19827	  0.91	252	9	--  	206300	          0.02	--  	--  	          0.45	         12.56亿	         32.87亿	  3.48	   2297	     16	        0.0037	1	0.47	35.31	62.40	76.47	          8.42	         12.56亿	110.57	36.76	1.06	-- -- 				0.73	4.32	-1.28	2.17	1.45	-2.04	3.53	0.03	20190426	20170515	          1.18	--  	--  	13.74	10.18	         -0.11	26.67	10.43	2.01	0.35	3.55	0.99	3.41	6.30	1.45	0.85	0.07	0.04	0.07	0.08	0.09	0.05	2.25	-0.34	-0.37	13935.00	          3229	9.01万	35.85	-3.41	          3.23	-95.49	22.60	0.22	0.080㈠	          8.64	0.00	          5.35	          1.91	         -0.29	         74.13	   0.92㈠	         41.23	          4.65	          6.46	0.15	736	002869	--  	--  	--  	
="002870"	香山股份	-9.98	23.90	-2.65	--  	23.90	62225	184	0.00	         15.51	24.99	25.01	23.90	26.55	    90.10	151607216	  1.22	电器仪表	广东	4.18	24.36	35009	27215	  1.29	0	1786	--  	2893800	          0.29	0.03	4268540	          0.40	          9.59亿	         26.45亿	 -8.70	   3353	     19	        0.0046	-1	1.31	2.75	58.17	62.81	         15.51	          9.59亿	64.90	68.71	1.02	KDJ死叉				-5.88	-5.80	-9.98	-8.23	-4.36	-4.44	0.00	-1.75	20190425	20170515	          1.11	--  	--  	10.43	8.46	          0.00	18.88	6.73	1.63	0.49	1.97	1.26	0.63	4.73	1.80	1.31	0.10	0.02	0.09	0.07	0.07	0.05	2.09	-0.25	-2.92	15579.00	          2575	6.15万	44.57	0.94	          3.13	-106.03	14.71	0.75	0.066㈠	          7.64	0.00	          4.27	          1.89	         -0.23	         81.12	   0.87㈠	         27.19	          5.35	          4.08	0.07	2545	002870	--  	--  	--  	
